regime,label,count,min_ns,p50_ns,p99_ns,p99_99_ns,max_ns,msgs_per_sec,ctx_voluntary,ctx_involuntary,minor_faults,major_faults
back_to_back,alloc,1000000,11,13,14,16,405,79573264,0,0,0,0
back_to_back,remove,1000000,16,17,18,18,18,58827201,0,0,0,0
